POST_TEXT,IMAGE,SOCIAL_COUNT,SOCIAL_COMMENTS
"Every piece of writing advice I could come up with in 15 minutes, after writing for 10+ years: (Yes, I've been writing for over a DECADE)

1. Write like you talk, but edit like every single word will cost you $5

2. Stop researching as you write

3. Stop spellchecking as you write

4. Stop editing as you write

5. Sit down to write every day regardless of your mood

6. 30 minutes a day is all you need to improve your writing

7. Write the conclusion first so you know where you're headed

8. Write the introduction last, summarising everything

9. Prefer active voice over passive voice

10. Don’t stress over the order. Write one line here, one line there - be random

11. Format it well and make your writing LOOK aesthetically appealing

12. When editing, ask yourself “So what?” after every sentence. Can’t answer the question? Edit/ delete the sentence

13. Kill your darlings

14. Don’t report. Narrate

15. Skip the jargon - a 10yo should understand what you write

16. Don’t write and edit on the same day

17. Delete adverbs

18. Write with ONE person in mind. Write ""TO"" them

19. Write every day

20. Write anything you want - journals, poems, essays, tweets, songs. Just write

21. Set writing goals - could be time (30 mins daily), milestone (1 chapter), or word count (500 words)

22. If you think too fast and write too slow, use an app like Otter to transcribe your audio to text; edit later

23. Use Hemingway Editor to check the readability quotient of your writing. Aim for Grade 3 - Grade 5

24. No amount of reading will help you improve your writing, unless you write more than you read

25. Emulate the writing style of your favourite writers to improve yours

26. Write early in the morning or late at night

27. Pick a platform and publish something every day

28. When learning how to write, quantity > quality

29. If your writing isn’t improving, you’re not writing enough

30. You don't need a critic to tell you you're getting better at writing; you'll feel it yourself

31. The easiest way to enjoy writing is to write something you WANT to write about. It could be something personal, write it down anyway

32. Don’t expect instant results. Writing is not “just words”

33. Don’t pause to erase mistakes. Just strike them off and keep writing

This advice may look ""simple"", but read it again and ask yourself - how many of these do you follow?

Not enough, I bet.

So think of the advice being ""simple"" as a good thing - You can apply it instantly, and ""effortlessly.""

If you learned something, please like and share this post.

Follow me Shreya Pattar for more 😊

#ShreyaWrites

#content #writer #contentwriter #linkedin #ghostwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,748,118 comments
"What if Virat Kohli did only cardio in the gym, and had no in-field cricket training? Would he be one of the best cricket players we've seen?

No, of course not.

Virat Kohli NEEDS in-field training.

That's how I feel about the idea of ""doing an internship to gain experience as a freelancer...""

Yes, internships *might* help you learn the work itself, eg, social media management or article writing, etc. [Like I can be seen doing in the picture below...]

But those things make up only 5-10% of a successful freelancing career. 

Freelancing relies heavily (90-95%) on things that are not part of an internship:

• Lead generation
• Closing clients
• Personal branding
• Conducting sales calls
• Persuasion & proposals
• Setting terms & conditions
• Creating offers & setting prices
• Working with new people regularly
• Managing client concerns and issues...

You can't expect internships to teach you all these aspects of freelancing.

Freelancing is freelancing, and it requires hands-on experience in well... freelancing!

Now, you can still choose to take up an internship to learn how to do a particular task. 

However, consider whether you want to take up the 40+ hours a week of stress and extra time involvement (eg. travel) that comes with an internship, or instead use that time to learn to freelance as soon as possible.

Bottom line:

If you want to be a freelancer, start freelancing.
 
#ShreyaWrites

P.S. If you want to learn how to freelance (and save YEARS of trial & error in doing so), check the link in the comments.

#content #writer #contentwriter #linkedin #ghostwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,614,47 comments
"“You could have saved a lot of money by living at home but you moved to Dubai and you call it an investment. In what way exactly is moving to Dubai an investment for you?”

Many people have asked me this question since I moved to Dubai this February.

From the monetary perspective… Here’s how I have found my environment to influence financial growth:

When I started freelancing, I was studying in Dublin, Ireland (That’s my university in the picture.)

At the time, making €500 a month as a beginner was a huge thing. I thought “Wow this is probably higher than what a job would pay me…”

So I was very happy with what I was earning.

But then I realised, €500 is nothing in Dublin. My monthly rent itself was double of that. Plus I had living expenses. Plus I had college fees.

My parents were sponsoring my education, but I wanted to contribute towards easing this out.

So I HAD to earn more.

🎯 My first goal was to pay my daily expenses myself. The initial €500 covered that.

🎯 Then I made a goal to pay my rent.
+ €1000 a month. I did it.

🎯 Then I made a goal to pay my tuition.
+€22,000 a year. I did it.

The point is: If I didn’t have all those motivations (ahem ahem, expenses) to push me towards earning more, I would have never tested my limits.

🫶🏻 That’s what I mean by moving to another city/ country - that time Dublin, this time Dubai - being an “investment.”

The benefits and results come in various forms and ways, and this was mine when I was in Ireland.

I cannot pinpoint how my new environment will help me, but this is how my environment pushed me in the past.

‼️ This post isn’t about moving abroad; or even about moving at all. It’s about getting out of your comfort zone, finding encouragement in certain challenges, and doing your best for yourself.

I hope this helps :)

#ShreyaWrites

#content #writer #contentwriter #linkedin #ghostwriting
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"2,639",105 comments
"Do you want your stories to go viral but fear the toxicity that may come with it?

LinkedIn is an excellent platform for content creation that is known for its high organic reach.

But this high organic reach often comes with gaining massive engagement on posts, which also means a fair share of trolls/ nasty comments...

If you are new to creating content on LinkedIn and find the possible toxicity nerve-wracking, here are some ways to overcome that fear:

#1. Follow the proven, ""cliche"" writing style without fear of judgment. Your story is YOUR story; you don't need to try and reinvent the wheel with how you say it.

#2. Be honest in your writing and realise that you don’t owe anyone any justification.

#3. Anticipate follow-up questions, and be prepared for these comments BEFORE you hit ‘publish.’

#4. Avoid words that may dilute your key message, or take the reader off on a tangent. Edit ruthlessly.

#5. The trolls will exist, but they will also remain in tiny numbers when your success is big. Focus on the big picture; on the good stuff.

#6. Ignore, block or mute the trolls and the argumentative/ toxic comments, and engage only with the ones that will add value to your post. 

#7. If you are new to LinkedIn and get high engagement on your posts, avoid reading the comments (until you know can learn to ignore negative comments.)

#8. Move on to writing your next post. Your audience is waiting!

Do you still fear hitting “Publish” on LinkedIn?

#ShreyaWrites

[Yes, the picture is unrelated to the post... Just testing something here!]

#content #writer #contentwriter #linkedin #ghostwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,944,73 comments
"No long post, just wishing you a Good Morning, ft. a conversation with Dad. Something I think all youngsters should read.

#ShreyaWrites

(Yes, Dad said yes to posting on LinkedIn too 😉)
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,817,73 comments
"One of my friends is a doctor. He has NO need for my ebooks, yet he buys them full-price on the launch day itself.

Another friend of mine is an architect. She has little need for my content, yet she reads 100s of my Instagram stories where I answer freelancing questions weekly.

My grandfather does not need to keep up with my content either, yet he reads every single LinkedIn post, Instagram Story, and tweet of mine, every single day.

My mom loves my Instagram and keeps a check on my follower count. Every time I hit a new round figure milestone (68K, 69K, 70K...), she sends me a screenshot with a heart ❤️ drawn around the number (as you can see in the picture below.)

My dad says ""Ok"" instantly to any last-minute help I ask from him, including help with research for my Twitter threads, and with refining any of my writing that I am doubtful of...

In its own unique way, my journey as an entrepreneur is a team effort.

And I couldn't be more grateful for a team like this.

Supportive friends and family >>>

#ShreyaWrites

#content #writer #contentwriter #ghostwriter #linkedin
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,797,59 comments
"""Shreya, how do you maintain work-life balance?""

Well... I don't.

In fact, I think work-life balance is a myth. And chasing work-life balance is a run towards nothing.

I mean, think about it: Do we ever talk about ""Love - Life"" balance?

""Health - Life"" balance?

""Family - Life"" balance?

""Happiness - Life"" balance?

""Relationship - Life"" balance?

""Mental health - Life"" balance?

No.

Why not?

Well, I can think of 3 reasons:

#1. Because these are not terms that are fed to us regularly by media, unlike the term ""work-life balance.""

#2. Because we understand that each of these things has its ups and downs.

​We don't try to ""balance"" things out when it comes to health, relationships, family or happiness. We understand that these elements are not in our control, and we will ride a new wave every day with them.
​
It is only in the ups and downs of work that we freak out the most.

We think that if something is NOT going right work-wise, then we have made some intentional mistake that now needs to be brought back to balance.

We think that if something IS going well work-wise, then we should pause and slow down and focus on the other things in life too to create the right balance. Both these approaches then hinder our growth for unworthy reasons.

#3. Because these terms just sound absurd.

​Love - Life balance, Health - Life balance... umm, what? That's absurd.

​After all, what even is life without health - physical & mental, family, and relationships? We simply cannot segregate these things from ""life."" Otherwise, how do we even define life?

The same holds true for work. Work is not life in itself, yet work is a large chunk of it. There is more to life than work, yet work is a huge part of life. And life cannot be defined without work.


So yes, I don't aim for ""work-life balance.""

I only aim to live a fulfilling life, where I am able to create time to work on what I love and enjoy, every day :)

What's your idea of ""work-life balance”?

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,963,88 comments
"A comprehensive list of the tools (free & paid) I use as an Agency Owner/ Writer... 

For publishing content:

Twitter
LinkedIn
YouTube
Instagram
ConvertKit (newsletter)
Gumroad (info-products)
HypeFury (schedule tweets)

For writing/ editing content:

XMind
Airtable
Bear app
Notes app
Grammarly
Google Docs
Pages app (iOS)
GoodNotes (iPad)
Hemingway Editor

For communication:

WhatsApp
Telegram
Discord
Gmail
Slack
Zoom

For lead generation:

LinkedIn

Miscellaneous:

Loom
Canva
Otter .ai
ClickUp
Calendly
Forest app
Google Drive
Google Calendar
Keynotes app (iOS)

The list is long but I don’t use each tool every single day.

My go-to daily tools are:

Zoom
Canva
Notes app
Airtable app
Google Drive
Social media (IG, Li, Tw)
Gmail/ Telegram/ WhatsApp.

Hope this helps!

#ShreyaWrites

P.S. Follow me Shreya Pattar for more.

#content #writer #contentwriter #linkedin #ghostwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,186,20 comments
"The fear of self-investment:

For newbies, when it comes to financial (especially stock market & crypto) investment, one of our main concern is the uncertainty of rate of returns.

It’s the uncertainty of when returns may come, and the uncertainty of protection of principal.

(We have no guarantee that we won’t even lose the amount of money we have invested, let alone guarantee a positive RoI.)

I think the same happens for investing in oneself too.

We may fear investing in ourselves wholeheartedly - could be education, business, health, recreational activities - because we don’t know what returns our investment will bring and when they will bring us the returns.

However, there is one stark difference between both kinds of investments - Control.

In the first kind of investment, you are at the mercy of factors beyond your control (no control over the stock market or crypto market).

In self-investment though, you have full control over the actions you take, and hence have a modicum of control over the results you generate. Also, your learnings can transmute and bring a positive RoI in other areas of your life.

This is why I think that people who stop investing in themselves do it because they feel they are not in control, and so they don't trust themselves to invest in themselves.

They don’t trust themselves to take the responsibility to improve upon themselves; to keep themselves accountable; to take the action they know they need to take.

And because of this, they fear the failure that they know they are guaranteeing for themselves.

Don’t be this person.

Invest in yourself.

And work towards getting the RoI you aim to accrue.

#ShreyaWrites

#content #writer #contentwriter #ghostwriter #linkedin
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,918,67 comments
"I wasn’t planning on posting this thread here (I leave some topics & thoughts exclusively for Twitter)

But this thread quickly became one of my best-performing threads on Twitter… 230,000+ impressions.

So many people resonated with what I have said here, and that’s a bittersweet thing.

I wanted this thread to be read by as many young people as possible, so I am glad this thread picked up on Twitter.

Yet, I want even more people to see it.

Especially because this idea stems from personal experience, and in-person conversations I have had with many 16-22yos over the last 2 weeks of my travel.

So now this thread is up on LinkedIn as well.

I hope it can help you.
And if you do find it helpful, please share the post.

Comment any questions.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,373,37 comments
"🚨🚨🚨 Doing my first ever meetup in Bangalore today! Would love to meet you if you’re in the city 😊

See you there!

#ShreyaWrites
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,112,21 comments
"People out here repurposing entire books, and you can’t even repurpose a LinkedIn post?

Got to give it to the author - turned one bestseller into two 💯

#ShreyaWrites

P.S. The dad wrote the first book; the son wrote the second one. Both bestsellers.

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,379,26 comments
"When you lack boundaries as a freelancer,

You lack the FRAME it requires to turn a work relationship

From working FOR your clients

To working WITH your clients.

When you lose that frame, you allow clients too much leverage over you, your time and your mental peace.

#ShreyaWrites

#content #writer #contentwriter #linkedin #ghostwriting
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,242,36 comments
"You are always one client away from a better mood.

Happy Sunday!

#ShreyaWrites

#content #writer #contentwriter #linkedin #linkedinbranding
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,411,42 comments
"9 simple writing tips that you can apply in the next 5 minutes to improve your writing forever:

[#8 is the tip you never knew you needed]

1. Turn off spellcheck while you’re writing - you won’t get distracted by the red underlines.

2. Keep 1 person in mind while writing anything, and write only for them.

3. Make writing a part of your daily routine - it could be a goal to write x words every day, or to write for x minutes every day - up to you.

4. If you think faster than you write and that affects the quality, then use an app like Otter to transcribe your audio to text; edit later.

5. You don’t need to start writing from the beginning (in fact, you shouldn't) - write in any random order that suits you and piece things together later.

6. Write your conclusion first, so you have clarity on what point you need to make through the rest of the piece and you can reverse-engineer it.

7. Write your introduction last, so you can accurately summarise the rest of the piece while creating a build-up to read it all.

8. Write like you talk, but edit like every single word is going to cost you $5.

9. Use Hemingway Editor to check the readability quotient of your writing, and aim to achieve a level of Grade 3 - Grade 5.

#ShreyaWrites

P.S. Want to learn how to write highly-engaging LinkedIn posts? Grab my ebook Ca$hing In on LinkedIn - link in the comments!

#content #writer #contentwriter #linkedin #linkedinbranding
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,368,46 comments
"14 things I wish I knew before I started freelancing:

[3, 10, and 14 are my favourites]

1. Stop trying to look only at revenue as a freelancer. Freelance to add value; revenue will follow.

2. If you want to make more sales, study concepts from both, psychology and marketing.

3. Don’t be afraid of scaling too fast. You don’t need to struggle and toil for years to hit $10K months. You can do it in under a year.

4. Regular content creation will get you 3-5 leads a day, in under a year. Want to get leads in your sleep? Create content.

5. Don’t rely only on content creation for lead generation. Use other methods too, especially some form of outbound.

6. You don’t need a degree, or rather any work experience at all. Just get your skills to a level where it can be of value to other people.

7. Listen more than you talk. Act more than you think. Create more than you doubt.

8. Freelancing is a numbers game. The more content you create/ outreach you do/ calls you book, the better outcome you will get.

9. A sustainable freelancing income is better created through client retention than lead generation. Aim to retain as many clients as possible each month.

10. Prioritise your health. You rely 100% on yourself as a freelancer, and this career choice demands that you be your fittest self to succeed in it.

11. Freelancing is meant to be treated as a business, not a quick rich scheme. Give it time, energy and effort for the long term.

12. If you are underbooked, you need to focus on lead gen and sales. If you are overbooked, you need to raise your prices.
 
13. Your focus should not be to hit $100K as soon as possible just because everyone’s doing it. It should be to set and chase goals that are meaningful to you.

14. Interacting with 10s of people every day will affect your mood. Learn to become resistant to it.

If you enjoyed this post, then follow me Shreya Pattar for more.

#ShreyaWrites

P.S. I am looking to help 2 more entrepreneurs/ coaches build their brands on LinkedIn & Twitter in August. DM me ""AUG"" to find out more.

#content #writer #contentwriter #linkedin #linkedinbranding #ghostwriting
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,306,38 comments
